,Well,NPDCode,On Stream,Oil,Gas,Water,Date
1,1,7405,228,11142,1597937,0,4/1/2017
2,1,7405,734,24902,3496230,783,5/1/2017
3,1,7405,706,19618,2886662,2068,6/1/2017
4,1,7405,742,15086,2249366,6244,7/1/2017
5,1,7405,433,6970,1048191,4530,8/1/2017
6,1,7405,630,9168,1414100,8318,9/1/2017
7,1,7405,745,9468,1462064,10365,10/1/2017
8,1,7405,580,6710,1044188,7234,11/1/2017
9,1,7405,28,120,25857,183,12/1/2017
10,1,7405,480,10876,1604935,6851,1/1/2018
11,1,7405,437,9587,1439454,10745,2/1/2018
12,1,7405,320,5879,856681,11607,3/1/2018
13,1,7405,263,3924,566710,9815,4/1/2018
14,1,7405,181,3833,559060,6167,5/1/2018
15,1,7405,466,6345,925337,14549,6/1/2018
16,1,7405,242,2094,315179,8454,7/1/2018
17,1,7405,148,2871,427693,5334,8/1/2018
18,1,7405,384,6460,961548,14767,9/1/2018
19,1,7405,368,4086,631373,13539,10/1/2018
20,1,7405,301,3332,508384,11682,11/1/2018
21,1,7405,198,2949,454911,6232,12/1/2018
22,1,7405,388,2981,471676,14036,1/1/2019
23,1,7405,484,4718,742340,15946,2/1/2019
24,1,7405,357,2918,476830,13411,3/1/2019
