Test Design 2_Date Time	Test Design 2_Pressure
(-)	(psia)
12/27/2022 12:00:00 AM	4000.00
12/27/2022 12:00:00 AM	3999.58
12/27/2022 12:00:00 AM	3999.17
12/27/2022 12:00:01 AM	3998.76
12/27/2022 12:00:01 AM	3998.34
12/27/2022 12:00:01 AM	3997.92
12/27/2022 12:00:02 AM	3997.38
12/27/2022 12:00:02 AM	3996.71
12/27/2022 12:00:03 AM	3995.87
12/27/2022 12:00:04 AM	3994.82
12/27/2022 12:00:05 AM	3993.50
12/27/2022 12:00:07 AM	3991.86
12/27/2022 12:00:09 AM	3989.82
12/27/2022 12:00:11 AM	3987.28
12/27/2022 12:00:14 AM	3984.13
12/27/2022 12:00:18 AM	3980.25
12/27/2022 12:00:22 AM	3975.49
12/27/2022 12:00:28 AM	3969.69
12/27/2022 12:00:36 AM	3962.66
12/27/2022 12:00:45 AM	3954.22
12/27/2022 12:00:57 AM	3944.21
12/27/2022 12:01:12 AM	3932.51
12/27/2022 12:01:30 AM	3919.05
12/27/2022 12:01:54 AM	3903.91
12/27/2022 12:02:24 AM	3887.31
12/27/2022 12:03:01 AM	3869.71
12/27/2022 12:03:48 AM	3851.74
12/27/2022 12:04:47 AM	3834.21
12/27/2022 12:06:01 AM	3817.95
12/27/2022 12:07:35 AM	3803.66
12/27/2022 12:09:33 AM	3791.75
12/27/2022 12:12:01 AM	3782.25
12/27/2022 12:15:08 AM	3774.88
12/27/2022 12:19:03 AM	3769.16
12/27/2022 12:24:00 AM	3764.58
12/27/2022 12:30:12 AM	3760.71
12/27/2022 12:38:02 AM	3757.25
12/27/2022 12:46:26 AM	3754.43
12/27/2022 12:54:50 AM	3752.17
12/27/2022 1:03:14 AM	3750.27
12/27/2022 1:11:38 AM	3748.64
12/27/2022 1:20:02 AM	3747.20
12/27/2022 1:28:26 AM	3745.92
12/27/2022 1:36:50 AM	3744.76
12/27/2022 1:45:14 AM	3743.70
12/27/2022 1:53:38 AM	3742.74
12/27/2022 2:02:02 AM	3741.84
12/27/2022 2:10:26 AM	3741.01
12/27/2022 2:18:50 AM	3740.23
12/27/2022 2:27:14 AM	3739.50
12/27/2022 2:35:38 AM	3738.81
12/27/2022 2:44:02 AM	3738.17
12/27/2022 2:52:26 AM	3737.55
12/27/2022 3:00:50 AM	3736.97
12/27/2022 3:09:14 AM	3736.41
12/27/2022 3:17:38 AM	3735.88
12/27/2022 3:26:02 AM	3735.37
12/27/2022 3:34:26 AM	3734.88
12/27/2022 3:42:50 AM	3734.41
12/27/2022 3:51:14 AM	3733.96
12/27/2022 3:59:38 AM	3733.53
12/27/2022 4:08:02 AM	3733.11
12/27/2022 4:16:26 AM	3732.70
12/27/2022 4:24:50 AM	3732.31
12/27/2022 4:33:14 AM	3731.94
12/27/2022 4:41:38 AM	3731.57
12/27/2022 4:50:02 AM	3731.21
12/27/2022 4:58:26 AM	3730.87
12/27/2022 5:06:50 AM	3730.53
12/27/2022 5:15:14 AM	3730.21
12/27/2022 5:23:38 AM	3729.89
12/27/2022 5:32:02 AM	3729.58
12/27/2022 5:40:26 AM	3729.28
12/27/2022 5:48:50 AM	3728.99
12/27/2022 5:57:14 AM	3728.70
12/27/2022 6:05:38 AM	3728.42
12/27/2022 6:14:02 AM	3728.15
12/27/2022 6:22:26 AM	3727.88
12/27/2022 6:30:50 AM	3727.62
12/27/2022 6:39:14 AM	3727.37
12/27/2022 6:47:38 AM	3727.12
12/27/2022 6:56:02 AM	3726.87
12/27/2022 7:04:26 AM	3726.63
12/27/2022 7:12:50 AM	3726.40
12/27/2022 7:21:14 AM	3726.17
12/27/2022 7:29:38 AM	3725.94
12/27/2022 7:38:02 AM	3725.72
12/27/2022 7:46:26 AM	3725.50
12/27/2022 7:54:50 AM	3725.29
12/27/2022 8:03:14 AM	3725.08
12/27/2022 8:11:38 AM	3724.87
12/27/2022 8:20:02 AM	3724.67
12/27/2022 8:28:26 AM	3724.47
12/27/2022 8:36:50 AM	3724.28
12/27/2022 8:45:14 AM	3724.08
12/27/2022 8:53:38 AM	3723.89
12/27/2022 9:02:02 AM	3723.71
12/27/2022 9:10:26 AM	3723.52
12/27/2022 9:18:50 AM	3723.34
12/27/2022 9:27:14 AM	3723.17
12/27/2022 9:35:38 AM	3722.99
12/27/2022 9:44:02 AM	3722.82
12/27/2022 9:52:26 AM	3722.65
12/27/2022 9:56:13 AM	3722.57
12/27/2022 9:59:59 AM	3722.50
12/27/2022 10:00:00 AM	3722.50
12/27/2022 10:00:00 AM	3722.08
12/27/2022 10:00:00 AM	3721.60
12/27/2022 10:00:01 AM	3720.57
12/27/2022 10:00:03 AM	3718.38
12/27/2022 10:00:07 AM	3713.76
12/27/2022 10:00:16 AM	3704.21
12/27/2022 10:00:36 AM	3685.30
12/27/2022 10:01:17 AM	3650.96
12/27/2022 10:02:47 AM	3598.46
12/27/2022 10:06:00 AM	3540.64
12/27/2022 10:12:55 AM	3501.98
12/27/2022 10:21:19 AM	3488.90
12/27/2022 10:29:43 AM	3482.89
12/27/2022 10:38:07 AM	3478.98
12/27/2022 10:46:31 AM	3476.01
12/27/2022 10:54:55 AM	3473.60
12/27/2022 11:03:19 AM	3471.56
12/27/2022 11:11:43 AM	3469.77
12/27/2022 11:20:07 AM	3468.19
12/27/2022 11:28:31 AM	3466.76
12/27/2022 11:36:55 AM	3465.46
12/27/2022 11:45:19 AM	3464.26
12/27/2022 11:53:43 AM	3463.15
12/27/2022 12:02:07 PM	3462.12
12/27/2022 12:10:31 PM	3461.15
12/27/2022 12:18:55 PM	3460.24
12/27/2022 12:27:19 PM	3459.38
12/27/2022 12:35:43 PM	3458.56
12/27/2022 12:44:07 PM	3457.78
12/27/2022 12:52:31 PM	3457.03
12/27/2022 1:00:55 PM	3456.32
12/27/2022 1:09:19 PM	3455.63
12/27/2022 1:17:43 PM	3454.98
12/27/2022 1:26:07 PM	3454.34
12/27/2022 1:34:31 PM	3453.73
12/27/2022 1:42:55 PM	3453.14
12/27/2022 1:51:19 PM	3452.57
12/27/2022 1:59:43 PM	3452.02
12/27/2022 2:08:07 PM	3451.48
12/27/2022 2:16:31 PM	3450.96
12/27/2022 2:24:55 PM	3450.46
12/27/2022 2:33:19 PM	3449.96
12/27/2022 2:41:43 PM	3449.48
12/27/2022 2:50:07 PM	3449.01
12/27/2022 2:58:31 PM	3448.56
12/27/2022 3:06:55 PM	3448.11
12/27/2022 3:15:19 PM	3447.68
12/27/2022 3:23:43 PM	3447.25
12/27/2022 3:32:07 PM	3446.84
12/27/2022 3:40:31 PM	3446.43
12/27/2022 3:48:55 PM	3446.03
12/27/2022 3:57:19 PM	3445.64
12/27/2022 4:05:43 PM	3445.26
12/27/2022 4:14:07 PM	3444.88
12/27/2022 4:22:31 PM	3444.51
12/27/2022 4:30:55 PM	3444.15
12/27/2022 4:39:19 PM	3443.80
12/27/2022 4:47:43 PM	3443.45
12/27/2022 4:56:07 PM	3443.10
12/27/2022 5:04:31 PM	3442.77
12/27/2022 5:12:55 PM	3442.43
12/27/2022 5:21:19 PM	3442.11
12/27/2022 5:29:43 PM	3441.79
12/27/2022 5:38:07 PM	3441.47
12/27/2022 5:46:31 PM	3441.16
12/27/2022 5:54:55 PM	3440.85
12/27/2022 6:03:19 PM	3440.55
12/27/2022 6:11:43 PM	3440.25
12/27/2022 6:20:07 PM	3439.96
12/27/2022 6:28:31 PM	3439.67
12/27/2022 6:36:55 PM	3439.39
12/27/2022 6:45:19 PM	3439.11
12/27/2022 6:53:43 PM	3438.83
12/27/2022 7:02:07 PM	3438.55
12/27/2022 7:10:31 PM	3438.28
12/27/2022 7:18:55 PM	3438.02
12/27/2022 7:27:19 PM	3437.75
12/27/2022 7:35:43 PM	3437.49
12/27/2022 7:44:07 PM	3437.24
12/27/2022 7:52:31 PM	3436.98
12/27/2022 8:00:55 PM	3436.73
12/27/2022 8:09:19 PM	3436.48
12/27/2022 8:17:43 PM	3436.24
12/27/2022 8:26:07 PM	3436.00
12/27/2022 8:34:31 PM	3435.76
12/27/2022 8:42:55 PM	3435.52
12/27/2022 8:51:19 PM	3435.28
12/27/2022 8:59:43 PM	3435.05
12/27/2022 9:08:07 PM	3434.82
12/27/2022 9:16:31 PM	3434.60
12/27/2022 9:24:55 PM	3434.37
12/27/2022 9:33:19 PM	3434.15
12/27/2022 9:41:43 PM	3433.93
12/27/2022 9:50:07 PM	3433.71
12/27/2022 9:58:31 PM	3433.50
12/27/2022 10:06:55 PM	3433.28
12/27/2022 10:15:19 PM	3433.07
12/27/2022 10:23:43 PM	3432.86
12/27/2022 10:32:07 PM	3432.65
12/27/2022 10:40:31 PM	3432.45
12/27/2022 10:48:55 PM	3432.25
12/27/2022 10:57:19 PM	3432.04
12/27/2022 11:05:43 PM	3431.84
12/27/2022 11:14:07 PM	3431.65
12/27/2022 11:22:31 PM	3431.45
12/27/2022 11:30:55 PM	3431.26
12/27/2022 11:39:19 PM	3431.06
12/27/2022 11:47:43 PM	3430.87
12/27/2022 11:56:07 PM	3430.68
12/28/2022 12:04:31 AM	3430.50
12/28/2022 12:12:55 AM	3430.31
12/28/2022 12:21:19 AM	3430.12
12/28/2022 12:29:43 AM	3429.94
12/28/2022 12:38:07 AM	3429.76
12/28/2022 12:46:31 AM	3429.58
12/28/2022 12:54:55 AM	3429.40
12/28/2022 12:57:27 AM	3429.35
12/28/2022 12:59:59 AM	3429.29
12/28/2022 1:00:00 AM	3429.29
12/28/2022 1:00:00 AM	3430.13
12/28/2022 1:00:00 AM	3430.96
12/28/2022 1:00:01 AM	3431.78
12/28/2022 1:00:01 AM	3432.61
12/28/2022 1:00:01 AM	3433.46
12/28/2022 1:00:02 AM	3434.53
12/28/2022 1:00:02 AM	3435.87
12/28/2022 1:00:03 AM	3437.55
12/28/2022 1:00:04 AM	3439.66
12/28/2022 1:00:05 AM	3442.29
12/28/2022 1:00:07 AM	3445.57
12/28/2022 1:00:09 AM	3449.66
12/28/2022 1:00:11 AM	3454.74
12/28/2022 1:00:14 AM	3461.03
12/28/2022 1:00:18 AM	3468.78
12/28/2022 1:00:22 AM	3478.30
12/28/2022 1:00:28 AM	3489.91
12/28/2022 1:00:36 AM	3503.97
12/28/2022 1:00:45 AM	3520.84
12/28/2022 1:00:57 AM	3540.85
12/28/2022 1:01:12 AM	3564.26
12/28/2022 1:01:30 AM	3591.16
12/28/2022 1:01:54 AM	3621.44
12/28/2022 1:02:24 AM	3654.62
12/28/2022 1:03:01 AM	3689.81
12/28/2022 1:03:48 AM	3725.74
12/28/2022 1:04:47 AM	3760.78
12/28/2022 1:06:01 AM	3793.27
12/28/2022 1:07:35 AM	3821.82
12/28/2022 1:09:33 AM	3845.60
12/28/2022 1:12:01 AM	3864.55
12/28/2022 1:15:08 AM	3879.22
12/28/2022 1:19:03 AM	3890.57
12/28/2022 1:24:00 AM	3899.63
12/28/2022 1:30:12 AM	3907.24
12/28/2022 1:38:02 AM	3914.01
12/28/2022 1:46:26 AM	3919.47
12/28/2022 1:54:50 AM	3923.82
12/28/2022 2:03:14 AM	3927.45
12/28/2022 2:11:38 AM	3930.56
12/28/2022 2:20:02 AM	3933.27
12/28/2022 2:28:26 AM	3935.67
12/28/2022 2:36:50 AM	3937.83
12/28/2022 2:45:14 AM	3939.77
12/28/2022 2:53:38 AM	3941.55
12/28/2022 3:02:02 AM	3943.18
12/28/2022 3:10:26 AM	3944.69
12/28/2022 3:18:50 AM	3946.08
12/28/2022 3:27:14 AM	3947.39
12/28/2022 3:35:38 AM	3948.61
12/28/2022 3:44:02 AM	3949.75
12/28/2022 3:52:26 AM	3950.83
12/28/2022 4:00:50 AM	3951.85
12/28/2022 4:09:14 AM	3952.81
12/28/2022 4:17:38 AM	3953.72
12/28/2022 4:26:02 AM	3954.59
12/28/2022 4:34:26 AM	3955.42
12/28/2022 4:42:50 AM	3956.21
12/28/2022 4:51:14 AM	3956.97
12/28/2022 4:59:38 AM	3957.69
12/28/2022 5:08:02 AM	3958.38
12/28/2022 5:16:26 AM	3959.05
12/28/2022 5:24:50 AM	3959.69
12/28/2022 5:33:14 AM	3960.30
12/28/2022 5:41:38 AM	3960.89
12/28/2022 5:50:02 AM	3961.46
12/28/2022 5:58:26 AM	3962.02
12/28/2022 6:06:50 AM	3962.55
12/28/2022 6:15:14 AM	3963.06
12/28/2022 6:23:38 AM	3963.56
12/28/2022 6:32:02 AM	3964.04
12/28/2022 6:40:26 AM	3964.51
12/28/2022 6:48:50 AM	3964.96
12/28/2022 6:57:14 AM	3965.40
12/28/2022 7:05:38 AM	3965.83
12/28/2022 7:14:02 AM	3966.24
12/28/2022 7:22:26 AM	3966.65
12/28/2022 7:30:50 AM	3967.04
12/28/2022 7:39:14 AM	3967.42
12/28/2022 7:47:38 AM	3967.79
12/28/2022 7:56:02 AM	3968.15
12/28/2022 8:04:26 AM	3968.50
12/28/2022 8:12:50 AM	3968.85
12/28/2022 8:21:14 AM	3969.18
12/28/2022 8:29:38 AM	3969.51
12/28/2022 8:38:02 AM	3969.83
12/28/2022 8:46:26 AM	3970.14
12/28/2022 8:54:50 AM	3970.44
12/28/2022 9:03:14 AM	3970.74
12/28/2022 9:11:38 AM	3971.03
12/28/2022 9:20:02 AM	3971.31
12/28/2022 9:28:26 AM	3971.59
12/28/2022 9:36:50 AM	3971.86
12/28/2022 9:45:14 AM	3972.13
12/28/2022 9:53:38 AM	3972.39
12/28/2022 10:02:02 AM	3972.65
12/28/2022 10:10:26 AM	3972.90
12/28/2022 10:18:50 AM	3973.14
12/28/2022 10:27:14 AM	3973.38
12/28/2022 10:35:38 AM	3973.62
12/28/2022 10:44:02 AM	3973.85
12/28/2022 10:52:26 AM	3974.07
12/28/2022 10:56:13 AM	3974.17
12/28/2022 10:59:59 AM	3974.27
12/28/2022 11:00:00 AM	3974.27
12/28/2022 11:00:00 AM	3974.06
12/28/2022 11:00:00 AM	3973.86
12/28/2022 11:00:01 AM	3973.65
12/28/2022 11:00:01 AM	3973.44
12/28/2022 11:00:01 AM	3973.23
12/28/2022 11:00:02 AM	3972.96
12/28/2022 11:00:02 AM	3972.63
12/28/2022 11:00:03 AM	3972.21
12/28/2022 11:00:04 AM	3971.68
12/28/2022 11:00:05 AM	3971.03
12/28/2022 11:00:07 AM	3970.21
12/28/2022 11:00:09 AM	3969.18
12/28/2022 11:00:11 AM	3967.91
12/28/2022 11:00:14 AM	3966.34
12/28/2022 11:00:18 AM	3964.41
12/28/2022 11:00:22 AM	3962.03
12/28/2022 11:00:28 AM	3959.13
12/28/2022 11:00:36 AM	3955.62
12/28/2022 11:00:45 AM	3951.40
12/28/2022 11:00:57 AM	3946.40
12/28/2022 11:01:12 AM	3940.56
12/28/2022 11:01:30 AM	3933.84
12/28/2022 11:01:54 AM	3926.28
12/28/2022 11:02:24 AM	3917.99
12/28/2022 11:03:01 AM	3909.21
12/28/2022 11:03:48 AM	3900.24
12/28/2022 11:04:47 AM	3891.50
12/28/2022 11:06:01 AM	3883.40
12/28/2022 11:07:35 AM	3876.30
12/28/2022 11:09:33 AM	3870.39
12/28/2022 11:12:01 AM	3865.71
12/28/2022 11:15:08 AM	3862.10
12/28/2022 11:19:03 AM	3859.34
12/28/2022 11:24:00 AM	3857.18
12/28/2022 11:30:12 AM	3855.39
12/28/2022 11:38:02 AM	3853.85
12/28/2022 11:46:26 AM	3852.65
12/28/2022 11:54:50 AM	3851.71
12/28/2022 12:03:14 PM	3850.96
12/28/2022 12:11:38 PM	3850.33
12/28/2022 12:20:02 PM	3849.80
12/28/2022 12:28:26 PM	3849.34
12/28/2022 12:36:50 PM	3848.94
12/28/2022 12:45:14 PM	3848.59
12/28/2022 12:53:38 PM	3848.28
12/28/2022 1:02:02 PM	3848.01
12/28/2022 1:10:26 PM	3847.76
12/28/2022 1:18:50 PM	3847.54
12/28/2022 1:27:14 PM	3847.34
12/28/2022 1:35:38 PM	3847.16
12/28/2022 1:44:02 PM	3846.99
12/28/2022 1:52:26 PM	3846.84
12/28/2022 2:00:50 PM	3846.70
12/28/2022 2:09:14 PM	3846.58
12/28/2022 2:17:38 PM	3846.46
12/28/2022 2:26:02 PM	3846.35
12/28/2022 2:34:26 PM	3846.26
12/28/2022 2:42:50 PM	3846.17
12/28/2022 2:51:14 PM	3846.08
12/28/2022 2:59:38 PM	3846.00
12/28/2022 3:08:02 PM	3845.93
12/28/2022 3:16:26 PM	3845.86
12/28/2022 3:24:50 PM	3845.80
12/28/2022 3:33:14 PM	3845.75
12/28/2022 3:41:38 PM	3845.69
12/28/2022 3:50:02 PM	3845.64
12/28/2022 3:58:26 PM	3845.60
12/28/2022 3:59:13 PM	3845.59
12/28/2022 3:59:59 PM	3845.59
12/28/2022 4:00:00 PM	3845.59
12/28/2022 4:00:00 PM	3845.80
12/28/2022 4:00:00 PM	3846.00
12/28/2022 4:00:01 PM	3846.21
12/28/2022 4:00:01 PM	3846.42
12/28/2022 4:00:01 PM	3846.63
12/28/2022 4:00:02 PM	3846.90
12/28/2022 4:00:02 PM	3847.23
12/28/2022 4:00:03 PM	3847.65
12/28/2022 4:00:04 PM	3848.18
12/28/2022 4:00:05 PM	3848.84
12/28/2022 4:00:07 PM	3849.66
12/28/2022 4:00:09 PM	3850.68
12/28/2022 4:00:11 PM	3851.95
12/28/2022 4:00:14 PM	3853.52
12/28/2022 4:00:18 PM	3855.46
12/28/2022 4:00:22 PM	3857.84
12/28/2022 4:00:28 PM	3860.74
12/28/2022 4:00:36 PM	3864.26
12/28/2022 4:00:45 PM	3868.47
12/28/2022 4:00:57 PM	3873.48
12/28/2022 4:01:12 PM	3879.33
12/28/2022 4:01:30 PM	3886.05
12/28/2022 4:01:54 PM	3893.62
12/28/2022 4:02:24 PM	3901.92
12/28/2022 4:03:01 PM	3910.72
12/28/2022 4:03:48 PM	3919.70
12/28/2022 4:04:47 PM	3928.46
12/28/2022 4:06:01 PM	3936.58
12/28/2022 4:07:35 PM	3943.72
12/28/2022 4:09:33 PM	3949.67
12/28/2022 4:12:01 PM	3954.40
12/28/2022 4:15:08 PM	3958.07
12/28/2022 4:19:03 PM	3960.91
12/28/2022 4:24:00 PM	3963.18
12/28/2022 4:30:12 PM	3965.09
12/28/2022 4:38:02 PM	3966.79
12/28/2022 4:46:26 PM	3968.17
12/28/2022 4:54:50 PM	3969.27
12/28/2022 5:03:14 PM	3970.20
12/28/2022 5:11:38 PM	3970.99
12/28/2022 5:20:02 PM	3971.68
12/28/2022 5:28:26 PM	3972.30
12/28/2022 5:36:50 PM	3972.86
12/28/2022 5:45:14 PM	3973.37
12/28/2022 5:53:38 PM	3973.84
12/28/2022 6:02:02 PM	3974.27
12/28/2022 6:10:26 PM	3974.67
12/28/2022 6:18:50 PM	3975.05
12/28/2022 6:27:14 PM	3975.40
12/28/2022 6:35:38 PM	3975.73
12/28/2022 6:44:02 PM	3976.05
12/28/2022 6:52:26 PM	3976.34
12/28/2022 7:00:50 PM	3976.63
12/28/2022 7:09:14 PM	3976.90
12/28/2022 7:17:38 PM	3977.15
12/28/2022 7:26:02 PM	3977.40
12/28/2022 7:34:26 PM	3977.64
12/28/2022 7:42:50 PM	3977.87
12/28/2022 7:51:14 PM	3978.09
12/28/2022 7:59:38 PM	3978.30
12/28/2022 8:08:02 PM	3978.51
12/28/2022 8:16:26 PM	3978.70
12/28/2022 8:24:50 PM	3978.90
12/28/2022 8:33:14 PM	3979.08
12/28/2022 8:41:38 PM	3979.26
12/28/2022 8:50:02 PM	3979.44
12/28/2022 8:58:26 PM	3979.61
12/28/2022 8:59:13 PM	3979.62
12/28/2022 8:59:59 PM	3979.64
12/28/2022 9:00:00 PM	3979.64
12/28/2022 9:00:00 PM	3979.22
12/28/2022 9:00:00 PM	3978.81
12/28/2022 9:00:01 PM	3978.40
12/28/2022 9:00:01 PM	3977.98
12/28/2022 9:00:01 PM	3977.56
12/28/2022 9:00:02 PM	3977.02
12/28/2022 9:00:02 PM	3976.35
12/28/2022 9:00:03 PM	3975.51
12/28/2022 9:00:04 PM	3974.46
12/28/2022 9:00:05 PM	3973.14
12/28/2022 9:00:07 PM	3971.50
12/28/2022 9:00:09 PM	3969.46
12/28/2022 9:00:11 PM	3966.92
12/28/2022 9:00:14 PM	3963.78
12/28/2022 9:00:18 PM	3959.90
12/28/2022 9:00:22 PM	3955.14
12/28/2022 9:00:28 PM	3949.34
12/28/2022 9:00:36 PM	3942.31
12/28/2022 9:00:45 PM	3933.87
12/28/2022 9:00:57 PM	3923.87
12/28/2022 9:01:12 PM	3912.17
12/28/2022 9:01:30 PM	3898.72
12/28/2022 9:01:54 PM	3883.59
12/28/2022 9:02:24 PM	3867.00
12/28/2022 9:03:01 PM	3849.41
12/28/2022 9:03:48 PM	3831.45
12/28/2022 9:04:47 PM	3813.94
12/28/2022 9:06:01 PM	3797.71
12/28/2022 9:07:35 PM	3783.45
12/28/2022 9:09:33 PM	3771.57
12/28/2022 9:12:01 PM	3762.12
12/28/2022 9:15:08 PM	3754.82
12/28/2022 9:19:03 PM	3749.17
12/28/2022 9:24:00 PM	3744.69
12/28/2022 9:30:12 PM	3740.93
12/28/2022 9:38:02 PM	3737.60
12/28/2022 9:46:26 PM	3734.94
12/28/2022 9:54:50 PM	3732.82
12/28/2022 10:03:14 PM	3731.06
12/28/2022 10:11:38 PM	3729.56
12/28/2022 10:20:02 PM	3728.26
12/28/2022 10:28:26 PM	3727.11
12/28/2022 10:36:50 PM	3726.08
12/28/2022 10:45:14 PM	3725.15
12/28/2022 10:53:38 PM	3724.31
12/28/2022 11:02:02 PM	3723.53
12/28/2022 11:10:26 PM	3722.82
12/28/2022 11:18:50 PM	3722.16
12/28/2022 11:27:14 PM	3721.55
12/28/2022 11:35:38 PM	3720.97
12/28/2022 11:44:02 PM	3720.44
12/28/2022 11:52:26 PM	3719.93
12/28/2022 11:56:13 PM	3719.71
12/28/2022 11:59:59 PM	3719.50
12/29/2022 12:00:00 AM	3719.50
12/29/2022 12:00:00 AM	3719.71
12/29/2022 12:00:00 AM	3719.95
12/29/2022 12:00:01 AM	3720.46
12/29/2022 12:00:03 AM	3721.55
12/29/2022 12:00:07 AM	3723.86
12/29/2022 12:00:16 AM	3728.63
12/29/2022 12:00:36 AM	3738.06
12/29/2022 12:01:17 AM	3755.19
12/29/2022 12:02:47 AM	3781.34
12/29/2022 12:06:00 AM	3810.04
12/29/2022 12:12:55 AM	3828.94
12/29/2022 12:21:19 AM	3834.98
12/29/2022 12:29:43 AM	3837.51
12/29/2022 12:38:07 AM	3839.01
12/29/2022 12:46:31 AM	3840.05
12/29/2022 12:54:55 AM	3840.83
12/29/2022 1:03:19 AM	3841.45
12/29/2022 1:11:43 AM	3841.95
12/29/2022 1:20:07 AM	3842.36
12/29/2022 1:28:31 AM	3842.71
12/29/2022 1:36:55 AM	3843.00
12/29/2022 1:45:19 AM	3843.26
12/29/2022 1:53:43 AM	3843.48
12/29/2022 2:02:07 AM	3843.67
12/29/2022 2:10:31 AM	3843.84
12/29/2022 2:18:55 AM	3843.99
12/29/2022 2:27:19 AM	3844.13
12/29/2022 2:35:43 AM	3844.25
12/29/2022 2:44:07 AM	3844.36
12/29/2022 2:52:31 AM	3844.45
12/29/2022 3:00:55 AM	3844.54
12/29/2022 3:09:19 AM	3844.62
12/29/2022 3:17:43 AM	3844.69
12/29/2022 3:26:07 AM	3844.76
12/29/2022 3:34:31 AM	3844.82
12/29/2022 3:42:55 AM	3844.88
12/29/2022 3:51:19 AM	3844.93
12/29/2022 3:59:43 AM	3844.97
12/29/2022 4:08:07 AM	3845.02
12/29/2022 4:16:31 AM	3845.06
12/29/2022 4:24:55 AM	3845.09
12/29/2022 4:33:19 AM	3845.13
12/29/2022 4:41:43 AM	3845.16
12/29/2022 4:50:07 AM	3845.19
12/29/2022 4:58:31 AM	3845.22
12/29/2022 4:59:15 AM	3845.22
12/29/2022 4:59:59 AM	3845.22
12/29/2022 5:00:00 AM	3845.22
12/29/2022 5:00:00 AM	3844.60
12/29/2022 5:00:00 AM	3843.88
12/29/2022 5:00:01 AM	3842.34
12/29/2022 5:00:03 AM	3839.06
12/29/2022 5:00:07 AM	3832.13
12/29/2022 5:00:16 AM	3817.80
12/29/2022 5:00:36 AM	3789.44
12/29/2022 5:01:17 AM	3737.96
12/29/2022 5:02:47 AM	3659.26
12/29/2022 5:06:00 AM	3572.64
12/29/2022 5:12:55 AM	3514.86
12/29/2022 5:21:19 AM	3495.51
12/29/2022 5:29:43 AM	3486.76
12/29/2022 5:38:07 AM	3481.15
12/29/2022 5:46:31 AM	3476.96
12/29/2022 5:54:55 AM	3473.59
12/29/2022 6:03:19 AM	3470.76
12/29/2022 6:11:43 AM	3468.32
12/29/2022 6:20:07 AM	3466.18
12/29/2022 6:28:31 AM	3464.28
12/29/2022 6:36:55 AM	3462.55
12/29/2022 6:45:19 AM	3460.99
12/29/2022 6:53:43 AM	3459.55
12/29/2022 7:02:07 AM	3458.21
